Time[s],Mass
41999,1.81038
42114,1.81034
42235,1.81022
42354,1.81034
42474,1.81025
42595,1.81032
42714,1.81026
42836,1.80995
42954,1.81025
43074,1.81032
43194,1.8101
43314,1.8103
43434,1.81026
43554,1.81022
43676,1.8102
43794,1.81023
43914,1.81035
44034,1.81035
44154,1.81032
44274,1.81026
44400,1.81019
44514,1.81027
44634,1.81026
44757,1.81014
44874,1.81029
44996,1.81013
45114,1.81021
45234,1.81028
45354,1.81027
45474,1.81014
45594,1.81027
45714,1.81029
45834,1.81023
45954,1.81019
46077,1.81019
46194,1.81023
46314,1.81015
46436,1.81017
46554,1.81022
46676,1.80999
46794,1.81018
46914,1.81019
47034,1.8101
47154,1.81021
47274,1.81017
47394,1.81021
47514,1.81023
47635,1.81018
47754,1.8102
47874,1.8102
47994,1.81024
48114,1.81008
48236,1.81012
48354,1.81022
48474,1.81008
48595,1.81008
48714,1.81012
48834,1.81014
48954,1.8102
49074,1.81016
49194,1.8102
49314,1.81007
49434,1.81011
49554,1.81019
49675,1.81023
49794,1.81022
49915,1.81007
50036,1.81014
50154,1.81018
50276,1.80991
50394,1.81017
50514,1.81026
50634,1.81026
50754,1.81025
50874,1.8102
50996,1.81015
51114,1.81024
51234,1.81014
51357,1.81015
51474,1.8102
51598,1.81019
51714,1.81023
51834,1.81022
51954,1.81022
52074,1.81029
52194,1.81029
52314,1.81025
52434,1.81026
52554,1.81017
52674,1.81008
52794,1.81025
52915,1.81008
53034,1.81021
53154,1.8103
53274,1.81026
53394,1.81019
53514,1.81025
53634,1.81011
53754,1.81012
53874,1.81021
53997,1.81018
54114,1.81019
54234,1.81028
54359,1.80992
54474,1.81016
54594,1.81021
54714,1.81024
54834,1.81018
54954,1.81027
55075,1.81025
55194,1.81021
55314,1.81023
55434,1.81022
55554,1.81023
55674,1.81025
55794,1.81025
55914,1.81027
56034,1.8103
56154,1.81031
56274,1.81023
56397,1.81026
56515,1.81024
56634,1.8103
56754,1.81013
56874,1.8101
56994,1.81025
57114,1.81028
57234,1.81027
57354,1.81029
57474,1.81022
57594,1.81021
57714,1.81026
57834,1.81013
57954,1.81022
58074,1.81025
58195,1.81026
58315,1.80991
58434,1.81028
58554,1.81025
58674,1.81022
58794,1.81023
58914,1.81027
59034,1.81024
59154,1.81022
59274,1.81026
59394,1.81018
59514,1.81029
59634,1.81025
59754,1.80994
59874,1.81012
59994,1.81028
60114,1.81023
60234,1.81029
60354,1.81021
60474,1.81025
60594,1.81013
60714,1.8099
60835,1.81022
60954,1.81024
61074,1.81012
61194,1.81026
61314,1.81018
61434,1.81023
61554,1.81024
61674,1.81022
61794,1.81025
61914,1.81022
62034,1.81028
62154,1.81025
62274,1.81029
62394,1.81022
62517,1.81017
62634,1.81014
62754,1.81026
62874,1.81013
62996,1.81025
63114,1.81012
63234,1.81026
63354,1.81029
63474,1.81023
63597,1.8101
63714,1.81021
63834,1.81028
63954,1.81025
64074,1.81024
64194,1.81024
64314,1.81016
64434,1.81029
64554,1.81024
64675,1.81029
64796,1.81028
64916,1.81022
65034,1.81031
65154,1.81023
65274,1.8102
65394,1.81027
65518,1.8101
65634,1.81029
65754,1.81028
65874,1.81028
65994,1.81023
66114,1.81026
66241,1.81018
66354,1.81023
66474,1.81023
66594,1.81029
66714,1.81026
66834,1.81034
66955,1.81027
67074,1.81021
67194,1.81027
67314,1.81025
67434,1.81027
67554,1.81028
67674,1.81023
67794,1.81033
67914,1.81027
68034,1.81011
68154,1.81037
68274,1.81024
68394,1.81027
68516,1.81029
68634,1.81034
68754,1.81029
68874,1.81029
68995,1.81026
69114,1.81038
69234,1.81034
69354,1.81034
69479,1.81012
69594,1.81033
69714,1.81033
69834,1.81029
69954,1.81042
70074,1.81028
70194,1.81031
70314,1.81028
70436,1.8101
70555,1.81025
70674,1.81031
70794,1.81036
70914,1.81024
71034,1.81027
71154,1.81032
71274,1.81043
71394,1.81035
71514,1.81031
71634,1.81035
71754,1.8104
71874,1.81035
71994,1.81037
72114,1.81038
72234,1.81039
72354,1.81034
72474,1.81033
72596,1.8104
72714,1.81036
72834,1.81036
72954,1.81036
73074,1.81033
73194,1.81038
73315,1.81039
73437,1.81044
73554,1.81023
73674,1.81038
73797,1.81035
73914,1.81038
74034,1.81029
74154,1.81041
74276,1.81027
74394,1.81045
74514,1.8104
74634,1.81045
74754,1.81045
74874,1.8105
74994,1.81048
75114,1.81049
75235,1.81047
75356,1.81016
75474,1.81044
75594,1.81045
75714,1.81047
75834,1.81043
75954,1.81039
76080,1.81038
76194,1.81046
76314,1.81044
76434,1.81038
76554,1.81043
76674,1.81046
76794,1.81041
76914,1.81043
77034,1.81055
77155,1.81022
77274,1.81042
77394,1.81046
77514,1.81049
77636,1.81036
77754,1.81039
77874,1.81044
77994,1.81046
78114,1.81042
78234,1.81043
78354,1.81041
78475,1.81044
78599,1.81045
78714,1.81035
78838,1.8103
78954,1.81042
79074,1.81041
79194,1.8104
79314,1.81039
79434,1.81044
79554,1.81039
79674,1.81041
79794,1.81038
79914,1.81038
80034,1.81045
80154,1.81041
80274,1.81029
80394,1.81031
80516,1.81038
80638,1.81019
80754,1.81048
80874,1.81043
80994,1.81048
81117,1.81052
81234,1.81052
81354,1.81043
81474,1.81046
81594,1.81045
81714,1.81047
81834,1.81046
81954,1.81043
82074,1.8105
82194,1.81048
82314,1.8105
